***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
63,3.00E-06,5.30E-01,6.10E-05,1.01E+00,2.82E-05,5.64E-05,5.01E-05,2.14E-01,4.00E-01,4.61E-01,6.31E-01,1.00E+00,a
64,8.00E-06,5.29E-01,9.00E-05,1.06E+00,2.73E-05,6.69E-05,5.19E-05,2.05E-01,3.94E-01,4.60E-01,6.44E-01,1.06E+00,a
65,2.00E-06,5.32E-01,1.70E-05,1.00E+00,2.54E-05,4.37E-05,1.08E-05,2.06E-01,3.96E-01,4.60E-01,6.36E-01,9.94E-01,a
66,7.00E-06,5.30E-01,1.60E-05,9.92E-01,2.68E-05,4.21E-05,9.51E-06,2.08E-01,3.98E-01,4.62E-01,6.35E-01,9.88E-01,a
67,1.10E-05,5.28E-01,2.80E-05,1.02E+00,2.56E-05,4.87E-05,2.13E-05,2.09E-01,3.96E-01,4.58E-01,6.35E-01,1.02E+00,a
68,2.00E-06,5.37E-01,1.70E-05,1.01E+00,2.44E-05,4.35E-05,9.90E-06,2.14E-01,4.04E-01,4.67E-01,6.41E-01,1.00E+00,a
69,4.00E-06,5.30E-01,5.00E-05,1.00E+00,2.81E-05,5.36E-05,4.20E-05,2.17E-01,4.03E-01,4.67E-01,6.34E-01,9.89E-01,a
70,9.00E-06,5.27E-01,4.79E-04,1.03E+00,3.39E-05,1.80E-04,3.09E-04,2.08E-01,3.96E-01,4.59E-01,6.38E-01,1.03E+00,b
71,2.00E-06,5.38E-01,7.50E-05,1.03E+00,2.40E-05,5.44E-05,6.68E-05,2.13E-01,4.03E-01,4.67E-01,6.45E-01,1.03E+00,a
72,2.00E-06,5.25E-01,6.20E-05,9.84E-01,2.48E-05,5.54E-05,5.45E-05,2.05E-01,3.94E-01,4.58E-01,6.26E-01,9.75E-01,a
73,8.00E-06,5.29E-01,2.80E-05,9.96E-01,2.60E-05,4.86E-05,2.22E-05,2.14E-01,4.01E-01,4.59E-01,6.32E-01,9.97E-01,a
74,7.00E-06,5.30E-01,9.00E-05,1.00E+00,2.81E-05,6.06E-05,8.16E-05,2.15E-01,4.01E-01,4.62E-01,6.33E-01,9.93E-01,a
75,1.00E-06,5.30E-01,4.20E-05,9.92E-01,3.25E-05,5.85E-05,3.52E-05,2.15E-01,4.01E-01,4.63E-01,6.34E-01,9.88E-01,a
76,1.50E-05,5.31E-01,2.02E-04,1.02E+00,3.09E-05,9.84E-05,1.33E-04,2.10E-01,3.98E-01,4.57E-01,6.37E-01,1.02E+00,a
77,6.00E-06,5.27E-01,2.20E-05,1.02E+00,2.66E-05,4.37E-05,1.55E-05,2.13E-01,3.99E-01,4.63E-01,6.35E-01,1.01E+00,a
78,1.20E-05,5.26E-01,1.70E-05,9.61E-01,2.66E-05,4.41E-05,1.09E-05,2.08E-01,3.98E-01,4.60E-01,6.24E-01,9.54E-01,a
