***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
532073,1.99E-01,1.09E-06,3.15E-06,2.83E+00,9.37E-04,3.33E-02,3.50E-02,3.56E-02,6.20E+00,6.93E-01,8.40E-02,4.02E-02,a
532074,2.04E-01,1.77E-06,3.50E-06,2.75E+00,9.52E-04,3.36E-02,3.58E-02,3.65E-02,6.19E+00,6.90E-01,8.35E-02,3.98E-02,a
532076,1.97E-01,7.79E-07,2.71E-06,2.49E+00,1.24E-03,3.39E-02,3.67E-02,3.74E-02,6.18E+00,6.92E-01,8.37E-02,4.00E-02,a
532077,1.95E-01,1.79E-06,2.90E-06,2.77E+00,1.04E-03,3.43E-02,3.57E-02,3.64E-02,6.19E+00,6.91E-01,8.34E-02,3.99E-02,a
532078,1.83E-01,2.84E-06,3.73E-06,2.64E+00,9.38E-04,3.30E-02,3.53E-02,3.59E-02,6.20E+00,6.94E-01,8.39E-02,4.03E-02,a
532080,1.90E-01,1.71E-06,3.90E-06,2.92E+00,1.08E-03,3.36E-02,3.58E-02,3.65E-02,6.17E+00,6.92E-01,8.36E-02,4.00E-02,a
532082,1.94E-01,5.41E-07,2.83E-06,2.29E+00,1.05E-03,3.33E-02,3.63E-02,3.70E-02,6.21E+00,6.92E-01,8.40E-02,4.03E-02,a
532083,1.89E-01,8.32E-07,3.15E-06,2.85E+00,1.14E-03,3.40E-02,3.59E-02,3.66E-02,6.19E+00,6.92E-01,8.34E-02,3.96E-02,a
532084,1.83E-01,2.36E-06,3.30E-06,2.54E+00,1.16E-03,3.27E-02,3.49E-02,3.56E-02,6.20E+00,6.90E-01,8.35E-02,3.98E-02,a
532085,1.87E-01,4.90E-07,2.62E-06,2.60E+00,9.98E-04,3.54E-02,3.68E-02,3.76E-02,6.20E+00,6.95E-01,8.37E-02,4.00E-02,a
532086,1.90E-01,2.55E-06,3.07E-06,2.32E+00,1.09E-03,3.49E-02,3.77E-02,3.87E-02,6.17E+00,6.90E-01,8.32E-02,3.96E-02,a
532087,1.94E-01,1.39E-06,2.01E-06,2.60E+00,1.11E-03,3.46E-02,3.67E-02,3.75E-02,6.18E+00,6.90E-01,8.35E-02,3.98E-02,a
532088,1.90E-01,1.33E-06,1.68E-06,2.60E+00,8.82E-04,3.33E-02,3.61E-02,3.68E-02,6.21E+00,6.92E-01,8.32E-02,3.95E-02,a
532089,1.90E-01,1.38E-07,2.38E-06,2.30E+00,1.04E-03,3.34E-02,3.58E-02,3.65E-02,6.17E+00,6.92E-01,8.33E-02,3.96E-02,a
532090,1.83E-01,1.43E-06,3.35E-06,2.90E+00,1.00E-03,3.28E-02,3.54E-02,3.60E-02,6.20E+00,6.91E-01,8.42E-02,4.04E-02,a
532091,1.98E-01,8.59E-07,1.63E-06,2.71E+00,1.20E-03,3.40E-02,3.57E-02,3.64E-02,6.22E+00,6.93E-01,8.39E-02,4.01E-02,a
532092,1.83E-01,1.31E-06,2.13E-06,2.72E+00,1.16E-03,3.36E-02,3.58E-02,3.65E-02,6.22E+00,6.92E-01,8.37E-02,4.01E-02,a
532093,2.01E-01,1.25E-06,2.85E-06,2.48E+00,1.06E-03,3.42E-02,3.69E-02,3.77E-02,6.18E+00,6.88E-01,8.35E-02,3.99E-02,a
532094,1.99E-01,1.51E-06,2.20E-06,2.28E+00,9.07E-04,3.42E-02,3.58E-02,3.63E-02,6.14E+00,6.87E-01,8.35E-02,3.99E-02,a
532095,1.87E-01,1.62E-06,2.10E-06,2.55E+00,9.77E-04,3.33E-02,3.55E-02,3.62E-02,6.21E+00,6.94E-01,8.35E-02,3.98E-02,a
532096,1.80E-01,1.66E-06,3.41E-06,2.49E+00,1.11E-03,3.37E-02,3.61E-02,3.68E-02,6.21E+00,6.91E-01,8.41E-02,4.04E-02,a
532097,1.80E-01,2.26E-06,3.24E-06,2.89E+00,9.70E-04,3.40E-02,3.62E-02,3.68E-02,6.17E+00,6.89E-01,8.36E-02,3.99E-02,a
532098,1.98E-01,1.49E-06,3.12E-06,2.58E+00,9.56E-04,3.40E-02,3.66E-02,3.73E-02,6.19E+00,6.95E-01,8.40E-02,4.04E-02,a
532099,1.85E-01,9.42E-07,2.68E-06,2.96E+00,1.15E-03,3.37E-02,3.59E-02,3.65E-02,6.21E+00,6.91E-01,8.32E-02,3.95E-02,a
532100,1.75E-01,3.37E-07,2.71E-06,2.53E+00,8.96E-04,3.27E-02,3.63E-02,3.69E-02,6.17E+00,6.92E-01,8.38E-02,4.01E-02,a
532103,1.88E-01,2.02E-06,3.67E-06,2.60E+00,1.16E-03,3.53E-02,3.65E-02,3.72E-02,6.17E+00,6.93E-01,8.42E-02,4.04E-02,a
1857005,1.60E-01,1.14E-06,1.62E-06,2.93E+00,3.90E-05,3.53E-02,3.73E-02,3.80E-02,6.25E+00,7.01E-01,8.58E-02,4.18E-02,b
1857006,1.78E-01,1.99E-06,1.08E-06,2.43E+00,4.50E-05,3.80E-02,3.94E-02,4.01E-02,6.23E+00,6.97E-01,8.54E-02,4.14E-02,b
1857007,1.50E-01,1.59E-06,1.97E-06,2.90E+00,4.40E-05,3.77E-02,3.92E-02,3.98E-02,6.25E+00,6.99E-01,8.54E-02,4.14E-02,b
1857008,1.58E-01,1.75E-06,1.57E-06,2.63E+00,3.10E-05,3.80E-02,3.92E-02,3.98E-02,6.24E+00,6.99E-01,8.51E-02,4.10E-02,b
1857009,1.76E-01,7.41E-07,2.43E-06,2.58E+00,2.70E-05,3.63E-02,3.87E-02,3.94E-02,6.24E+00,6.98E-01,8.47E-02,4.07E-02,b
1857010,1.62E-01,1.42E-06,1.86E-06,2.92E+00,3.30E-05,3.34E-02,3.50E-02,3.54E-02,6.28E+00,7.02E-01,8.61E-02,4.20E-02,b
1857011,1.69E-01,1.28E-06,1.78E-06,2.83E+00,3.60E-05,3.78E-02,3.95E-02,4.02E-02,6.26E+00,6.99E-01,8.51E-02,4.10E-02,b
1857012,1.78E-01,1.91E-06,1.53E-06,2.79E+00,5.20E-05,3.68E-02,3.88E-02,3.95E-02,6.27E+00,7.00E-01,8.51E-02,4.09E-02,b
1857013,1.77E-01,1.57E-06,1.49E-06,2.79E+00,3.40E-05,3.72E-02,3.96E-02,4.04E-02,6.24E+00,6.97E-01,8.53E-02,4.14E-02,b
