NN,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,class2
2895[313],-0.9094,0.9312,-1.777,1.744,5.63E-08,-6.50E-08,2.56E-08,-6.98E-06,-7.81E-06,-8.96E-06,-9.53E-06,-1.06E-05,-1.10E-05,-1.11E-05,-1.28E-05,-1.23E-05,-1.16E-05,1171000,12.17,-11.68,126.4,108.6,119.6,-4.64E-06,-0.0019,0.0012,-0.007,0.007,6.70E-10,8.10E-10,9.80E-10,-1.24E-05,-1.38E-05,-1.51E-05,-1.59E-05,-1.50E-05,-1.66E-05,-1.65E-05,-1.79E-05,-1.78E-05,-1.74E-05,71000,-0.02,0,-1.1,1.6,b
2895[314],-0.9375,0.9581,-1.84,1.807,9.99E-08,-8.36E-08,1.07E-08,9.31E-06,8.05E-06,7.20E-06,7.28E-06,7.04E-06,6.39E-06,5.91E-06,5.28E-06,5.68E-06,5.59E-06,1211000,12.11,-11.68,124.6,108.1,126.4,-3.73E-06,-0.0019,0.0012,-0.019,0.02,4.44E-09,-1.10E-08,3.66E-09,-1.35E-05,-1.35E-05,-1.42E-05,-1.38E-05,-1.25E-05,-1.26E-05,-1.25E-05,-1.44E-05,-1.37E-05,-1.49E-05,-31000,-0.01,-0.01,0.1,-1,b
2895[315],-0.9387,0.9587,-1.823,1.787,1.05E-07,-8.26E-08,4.62E-09,1.32E-05,1.32E-05,1.34E-05,1.35E-05,1.35E-05,1.26E-05,1.30E-05,1.39E-05,1.44E-05,1.32E-05,1032000,12.23,-11.69,127,106.1,122.4,3.00E-08,-0.0018,0.0012,-0.016,0.014,7.79E-09,-1.06E-08,-3.87E-10,-1.10E-05,-9.85E-06,-8.66E-06,-8.31E-06,-8.41E-06,-8.54E-06,-8.32E-06,-6.81E-06,-7.46E-06,-8.07E-06,-6000,-0.02,-0.01,0.8,-0.4,b
2895[316],-0.8775,0.8994,-1.724,1.687,8.16E-08,-5.44E-08,1.05E-08,-8.74E-06,-1.02E-05,-1.13E-05,-1.25E-05,-1.36E-05,-1.42E-05,-1.42E-05,-1.44E-05,-1.58E-05,-1.63E-05,1109000,12.2,-11.68,127.5,106.8,120.5,-7.59E-06,-0.0031,0.0031,-0.01,0.008,-2.18E-09,-6.35E-09,-2.61E-09,-1.54E-05,-1.56E-05,-1.64E-05,-1.75E-05,-1.81E-05,-1.95E-05,-1.85E-05,-1.69E-05,-1.95E-05,-2.03E-05,1000,-0.02,-0.01,1.5,0.2,b
2895[317],-0.9519,0.9719,-1.837,1.8,9.64E-08,-6.17E-08,3.97E-09,1.43E-05,1.03E-05,6.23E-06,3.38E-06,1.39E-06,-9.13E-07,-2.23E-06,-3.73E-06,-5.44E-06,-6.71E-06,1487000,12.23,-11.69,122.9,107.7,115.9,-2.10E-05,-0.0025,0.0019,-0.011,0.007,3.67E-09,-4.00E-11,2.19E-09,-5.01E-06,-6.34E-06,-7.62E-06,-8.94E-06,-1.01E-05,-1.18E-05,-1.32E-05,-1.37E-05,-1.61E-05,-1.77E-05,196000,-0.02,-0.01,0.4,-0.5,b
2895[318],-0.905,0.9275,-1.787,1.749,6.97E-08,-4.57E-08,1.43E-09,5.28E-06,2.73E-06,1.28E-06,1.13E-07,-1.68E-06,-2.88E-06,-3.93E-06,-3.76E-06,-3.65E-06,-4.44E-06,1083000,12.12,-11.68,125.4,106.8,126.6,-9.71E-06,-0.0019,0.0019,-0.01,0.004,4.63E-09,9.30E-10,1.26E-09,-9.87E-06,-1.13E-05,-1.22E-05,-1.32E-05,-1.36E-05,-1.37E-05,-1.60E-05,-1.47E-05,-1.43E-05,-1.39E-05,-96000,-0.02,0,0.5,-0.1,b
2895[319],-0.945,0.965,-1.822,1.783,7.88E-08,-6.63E-08,1.01E-08,1.16E-05,9.88E-06,7.59E-06,6.15E-06,4.94E-06,3.31E-06,3.00E-06,2.16E-06,2.04E-06,1.74E-06,1139000,12.23,-11.68,124.7,106.3,118.4,-9.87E-06,-0.0019,0.0012,-0.008,0.001,-5.70E-10,3.94E-09,-3.58E-09,-5.12E-06,-4.68E-06,-6.40E-06,-6.14E-06,-7.50E-06,-8.69E-06,-8.15E-06,-8.15E-06,-5.98E-06,-6.69E-06,-83000,-0.01,0,-0.7,-0.2,b
2895[320],-0.9281,0.9494,-1.808,1.769,6.96E-08,-6.13E-08,5.60E-09,1.75E-06,5.50E-07,2.88E-07,5.00E-08,-5.88E-07,-2.50E-08,-1.88E-07,-3.75E-08,-8.75E-08,-1.25E-08,1217000,12.2,-11.68,127.1,107.2,119.9,-1.76E-06,-0.0031,0.0019,-0.015,0.009,-7.12E-09,-3.45E-09,4.64E-09,-1.32E-05,-1.44E-05,-1.42E-05,-1.45E-05,-1.45E-05,-1.40E-05,-1.42E-05,-1.41E-05,-1.41E-05,-1.46E-05,63000,-0.01,0,-1.4,0.8,b
2895[321],-0.8875,0.91,-1.741,1.702,7.85E-08,-9.06E-08,2.61E-08,-1.73E-05,-1.71E-05,-1.75E-05,-1.79E-05,-1.83E-05,-1.81E-05,-1.88E-05,-1.96E-05,-1.97E-05,-2.00E-05,1214000,12.21,-11.68,131.8,105.6,118.1,-2.68E-06,-0.0019,0.0019,-0.009,0.003,2.96E-09,1.43E-09,-1.73E-09,-1.06E-05,-1.08E-05,-1.14E-05,-1.11E-05,-1.10E-05,-1.07E-05,-1.11E-05,-1.32E-05,-1.26E-05,-1.26E-05,44000,-0.01,0,-0.8,-0.2,b
2895[322],-0.9287,0.95,-1.832,1.794,7.09E-08,-8.13E-08,2.59E-08,9.38E-07,-1.28E-06,-3.31E-06,-5.06E-06,-6.01E-06,-6.85E-06,-8.30E-06,-8.81E-06,-8.83E-06,-1.00E-05,1105000,12.12,-11.66,126.3,106.4,129.3,-1.09E-05,-0.0025,0.0013,-0.01,0.005,-7.26E-09,-7.17E-09,6.54E-09,-1.32E-05,-1.37E-05,-1.48E-05,-1.44E-05,-1.39E-05,-1.40E-05,-1.39E-05,-1.49E-05,-1.46E-05,-1.56E-05,39000,0,0.01,0.6,1,b
2895[323],-0.8856,0.9075,-1.716,1.677,7.05E-08,-7.17E-08,9.29E-09,-1.57E-05,-1.72E-05,-1.78E-05,-1.82E-05,-1.89E-05,-1.79E-05,-1.79E-05,-1.88E-05,-1.86E-05,-1.85E-05,1241000,12.22,-11.68,126.4,106.7,123.5,-2.77E-06,-0.0019,0.0012,-0.01,0.003,-8.29E-09,2.13E-09,3.68E-09,-6.63E-06,-6.17E-06,-7.80E-06,-8.12E-06,-9.15E-06,-7.72E-06,-7.18E-06,-8.23E-06,-8.04E-06,-8.05E-06,-495000,-0.01,0,-2.1,0,b
2895[324],-0.8862,0.9087,-1.749,1.711,4.74E-08,-5.20E-08,1.03E-08,-8.10E-06,-9.03E-06,-8.89E-06,-8.99E-06,-9.60E-06,-1.07E-05,-1.05E-05,-1.05E-05,-1.07E-05,-1.03E-05,858300,12.14,-11.68,132.2,104.1,128.5,-2.19E-06,-0.0031,0.0024,-0.018,0.012,-7.36E-09,-5.71E-09,8.16E-09,-1.37E-05,-1.49E-05,-1.45E-05,-1.47E-05,-1.60E-05,-1.57E-05,-1.53E-05,-1.60E-05,-1.58E-05,-1.47E-05,-24200,-0.01,0,1.1,-0.2,b
2895[325],-0.8737,0.8956,-1.721,1.683,6.64E-08,-9.74E-08,4.21E-08,-1.08E-05,-1.19E-05,-1.30E-05,-1.17E-05,-1.21E-05,-1.27E-05,-1.26E-05,-1.35E-05,-1.38E-05,-1.42E-05,1195000,12.19,-11.67,122.6,105.3,120,-3.46E-06,-0.0025,0.0019,-0.014,0.009,-1.43E-08,-8.60E-10,7.62E-09,-1.39E-05,-1.49E-05,-1.50E-05,-1.33E-05,-1.34E-05,-1.60E-05,-1.52E-05,-1.53E-05,-1.56E-05,-1.62E-05,95000,0,0,0.1,-1.1,b
2895[326],-0.8925,0.9144,-1.751,1.714,-5.93E-08,3.74E-08,1.45E-08,-1.52E-05,-1.64E-05,-1.68E-05,-1.70E-05,-1.76E-05,-1.85E-05,-1.93E-05,-1.87E-05,-1.89E-05,-1.87E-05,1134000,12.16,-11.67,115.8,108.6,123.2,-3.48E-06,-0.0038,0.0025,-0.02,0.015,-1.23E-08,-7.25E-09,8.61E-09,-8.10E-06,-9.51E-06,-8.85E-06,-7.54E-06,-7.68E-06,-8.56E-06,-8.70E-06,-8.83E-06,-1.02E-05,-9.07E-06,12000,0,0.01,0.2,0,b
2895[327],-0.8819,0.9038,-1.706,1.668,8.84E-08,-8.19E-08,1.02E-08,-6.25E-08,-9.38E-07,-2.61E-06,-3.71E-06,-4.26E-06,-4.78E-06,-6.38E-06,-5.84E-06,-5.69E-06,-6.31E-06,1046000,12.22,-11.68,133.1,106.1,118.7,-6.25E-06,-0.0025,0.0019,-0.017,0.012,-5.04E-09,-2.11E-09,4.93E-09,7.75E-07,-3.25E-07,-1.64E-06,-2.09E-06,-7.75E-07,-8.50E-07,-4.49E-06,-3.29E-06,-2.66E-06,-2.96E-06,-73000,0,0,-1.8,-0.2,b
