name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,class
2942[315],-2.153,2.189,-2.669,2.66,-1.11E-05,1.17E-05,4.23E-07,-8.79E-06,-1.37E-05,-1.79E-05,-2.13E-05,-2.45E-05,-2.70E-05,-2.89E-05,-3.06E-05,-3.15E-05,-3.23E-05,2138000,13.88,-13.84,136,-2.35E-05,-0.041,0.037,-0.065,0.054,3.90E-07,-1.30E-07,7.53E-08,6.71E-06,6.77E-06,6.63E-06,6.90E-06,6.55E-06,6.52E-06,6.02E-06,5.58E-06,4.99E-06,4.96E-06,99000,0,0,b
2942[316],-2.164,2.202,-2.68,2.672,-1.40E-05,1.32E-05,7.50E-07,1.67E-05,1.65E-05,1.65E-05,1.65E-05,1.64E-05,1.62E-05,1.62E-05,1.55E-05,1.52E-05,1.52E-05,2255000,13.87,-13.83,144.5,-1.47E-06,-0.03,0.028,-0.054,0.043,6.80E-07,-1.06E-06,3.24E-07,6.85E-06,6.69E-06,7.20E-06,7.67E-06,7.85E-06,7.72E-06,7.64E-06,6.71E-06,6.15E-06,6.43E-06,12000,-0.01,0.01,b
2942[317],-2.244,2.278,-2.803,2.791,-4.61E-06,4.87E-06,2.80E-07,-6.70E-06,-8.75E-06,-1.10E-05,-1.22E-05,-1.32E-05,-1.37E-05,-1.46E-05,-1.54E-05,-1.55E-05,-1.59E-05,2101000,13.89,-13.82,115.8,-9.23E-06,-0.038,0.035,-0.062,0.052,3.85E-07,-4.14E-07,-6.00E-10,-1.71E-05,-1.75E-05,-1.92E-05,-1.96E-05,-2.04E-05,-2.07E-05,-2.13E-05,-2.19E-05,-2.15E-05,-2.20E-05,-7000,0,0.01,b
2942[318],-2.156,2.191,-2.68,2.671,-8.62E-06,7.15E-06,1.49E-06,1.45E-06,1.00E-06,5.25E-07,2.50E-07,-4.25E-07,-9.38E-07,-9.13E-07,-1.73E-06,-1.98E-06,-1.96E-06,2244000,13.88,-13.83,118.5,-3.41E-06,-0.034,0.03,-0.056,0.046,6.36E-07,-2.26E-07,-3.37E-07,-1.61E-05,-1.59E-05,-1.58E-05,-1.48E-05,-1.49E-05,-1.46E-05,-1.47E-05,-1.51E-05,-1.52E-05,-1.54E-05,70000,0,0,b
2942[319],-2.254,2.289,-2.811,2.801,-7.53E-06,8.66E-06,1.19E-06,9.13E-07,7.88E-07,4.75E-07,1.13E-07,-1.13E-07,7.50E-08,7.50E-08,-5.00E-07,-4.13E-07,-4.25E-07,2183000,13.89,-13.81,121.4,-1.34E-06,-0.041,0.038,-0.063,0.053,1.67E-07,-7.81E-07,-5.81E-07,-4.73E-06,-3.63E-06,-3.23E-06,-2.30E-06,-1.89E-06,-1.38E-06,-1.00E-06,-1.39E-06,-1.26E-06,-1.46E-06,9000,0,0.01,b
2942[320],-2.269,2.304,-2.945,2.928,5.74E-07,-1.07E-07,4.69E-07,1.75E-06,-1.88E-06,-5.29E-06,-8.39E-06,-1.08E-05,-1.21E-05,-1.34E-05,-1.40E-05,-1.47E-05,-1.52E-05,1822000,13.88,-13.81,126.1,-1.69E-05,-0.015,0.011,-0.029,0.033,-1.00E-08,-4.44E-07,-4.07E-07,-2.06E-05,-2.16E-05,-2.22E-05,-2.39E-05,-2.52E-05,-2.54E-05,-2.60E-05,-2.60E-05,-2.66E-05,-2.68E-05,74000,-0.01,0.01,b
2942[321],-2.136,2.172,-2.649,2.641,-5.54E-06,4.50E-06,1.07E-06,-4.24E-06,-6.55E-06,-8.91E-06,-1.09E-05,-1.25E-05,-1.38E-05,-1.42E-05,-1.44E-05,-1.46E-05,-1.48E-05,2161000,13.88,-13.83,119.3,-1.06E-05,-0.027,0.024,-0.047,0.038,3.35E-07,-7.50E-08,-1.01E-07,-6.99E-07,-5.62E-07,-1.35E-06,-1.76E-06,-3.08E-06,-3.01E-06,-2.38E-06,-2.34E-06,-2.25E-06,-2.51E-06,66000,0,0.01,b
2942[322],-2.186,2.222,-2.757,2.749,-5.59E-06,6.34E-06,7.38E-07,4.74E-06,2.29E-06,6.38E-07,-4.50E-07,-1.13E-06,-1.89E-06,-1.70E-06,-2.53E-06,-3.15E-06,-3.50E-06,2009000,13.88,-13.83,150.5,-8.24E-06,-0.011,0.008,-0.031,0.023,-3.20E-07,1.00E-08,-1.90E-07,3.63E-06,2.40E-06,2.61E-06,2.49E-06,2.45E-06,2.06E-06,2.63E-06,2.41E-06,1.96E-06,1.88E-06,29000,-0.01,0.01,b
2942[323],-2.211,2.246,-2.781,2.771,-4.66E-06,5.58E-06,8.35E-07,-1.06E-06,-4.89E-06,-7.53E-06,-9.41E-06,-1.14E-05,-1.34E-05,-1.45E-05,-1.57E-05,-1.70E-05,-1.82E-05,1944000,13.89,-13.84,141.8,-1.71E-05,-0.031,0.027,-0.054,0.044,1.89E-07,-2.01E-07,-2.53E-08,-7.70E-06,-8.46E-06,-8.13E-06,-7.72E-06,-8.06E-06,-8.60E-06,-8.64E-06,-8.76E-06,-9.68E-06,-9.99E-06,19000,0,0,b
2942[324],-2.252,2.286,-2.798,2.788,-5.18E-06,4.89E-06,4.13E-07,-9.48E-06,-1.23E-05,-1.46E-05,-1.57E-05,-1.68E-05,-1.73E-05,-1.81E-05,-1.85E-05,-1.89E-05,-1.89E-05,2226000,13.88,-13.83,140.7,-9.43E-06,-0.028,0.024,-0.049,0.04,5.74E-07,-5.08E-07,1.63E-07,-5.13E-06,-5.94E-06,-6.55E-06,-6.32E-06,-6.38E-06,-5.56E-06,-5.93E-06,-5.79E-06,-5.46E-06,-5.39E-06,55000,0,0.01,b
